"","Var2","RICHNESS"
"378","SM4",6
"379","SM5",2
"380","SM6",1
"381","SM8",2
"382","SM9",2
"383","SMC1",2
"384","SMC10",4
"385","SMC11",2
"386","SMC2",3
"387","SMC3",3
"388","SMC4",1
"389","SMC5",6
"390","SMC7",3
"391","SMC8",3
"392","SMC9",1
"393","SP1",2
"394","SP10",1
"395","SP11",6
"396","SP12",4
"397","SP13",2
"398","SP14",2
"399","SP16",2
"400","SP2",4
"401","SP3",1
"402","SP4",1
"403","SP5",3
"404","SP6",1
"405","SP7",2
"406","SP8",3
"407","SP9",2
"408","ST1",4
"409","ST2",6
"410","ST3",7
"411","ST4",5
"412","ST5",4
"413","ST6",5
"414","ST7",1
"415","ST9",4
"416","STL1",2
"417","STL10",3
"418","STL11",1
"419","STL12",1
"420","STL13",2
"421","STL14",2
"422","STL2",3
"423","STL4",4
"424","STL5",2
"425","STL6",2
"426","STL7",2
"427","STL8",2
"428","STL9",1
"429","T1",1
"430","T10",1
"431","T103",2
"432","T104",1
"433","T107",2
"434","T110",1
"435","T111",2
"436","T112",1
"437","T113",2
"438","T114",2
"439","T115",2
"440","T116",1
"441","T118",1
"442","T14",1
"443","T16",2
"444","T18",1
"445","T21",1
"446","T22",1
"447","T23",1
"448","T24",4
"449","T26",2
"450","T28",3
"451","T3",2
"452","T30",1
"453","T31",2
"454","T32",2
"455","T33",2
"456","T34",1
"457","T35",3
"458","T36",1
"459","T38",2
"460","T39",1
"461","T4",2
"462","T40",1
"463","T41",1
"464","T42",1
"465","T43",2
"466","T44",1
"467","T45",2
"468","T46",1
"469","T47",1
"470","T48",1
"471","T49",1
"472","T5",1
"473","T50",2
"474","T51",1
"475","T53",1
"476","T54",1
"477","T56",1
"478","T57",2
"479","T59",2
"480","T60",2
"481","T63",3
"482","T64",1
"483","T65",1
"484","T66",1
"485","T67",2
"486","T68",1
"487","T69",1
"488","T7",3
"489","T70",4
"490","T72",2
"491","T73",1
"492","T74",3
"493","T76",2
"494","T77",2
"495","T78",3
"496","T79",1
"497","T81",1
"498","T82",1
"499","T85",2
"500","T86",2
"501","T87",2
"502","T88",2
"503","T91",2
"504","T92",2
"505","T94",2
"506","T95",2
"507","T97",1
"508","T98",3
"509","T99",2
"510","W10",3
"511","W11",2
"512","W12",3
"513","W13",5
"514","W14",4
"515","W15",1
"516","W16",1
"517","W17",3
"518","W18",4
"519","W19",2
"520","W2",2
"521","W20",1
"522","W21",2
"523","W22",3
"524","W23",1
"525","W24",5
"526","W25",2
"527","W27",3
"528","W28",2
"529","W29",2
"530","W3",1
"531","W30",1
"532","W31",2
"533","W32",2
"534","W33",2
"535","W5",2
"536","W6",3
"537","W8",1
"538","W9",1
"539","WI1",1
"540","WI3",1
"541","WI8",2
"542","Y1",3
"543","Y10",4
"544","Y11",9
"545","Y12",5
"546","Y13",6
"547","Y14",1
"548","Y15",4
"549","Y16",4
"550","Y17",4
"551","Y18",2
"552","Y19",4
"553","Y2",3
"554","Y20",4
"555","Y21",2
"556","Y22",2
"557","Y23",4
"558","Y24",8
"559","Y25",3
"560","Y26",1
"561","Y27",4
"562","Y28",5
"563","Y29",6
"564","Y3",4
"565","Y30",1
"566","Y31",1
"567","Y32",3
"568","Y33",7
"569","Y34",2
"570","Y35",5
"571","Y36",3
"572","Y37",2
"573","Y4",3
"574","Y40",12
"575","Y42",2
"576","Y43",3
"577","Y44",3
"578","Y45",2
"579","Y46",9
"580","Y47",2
"581","Y48",3
"582","Y49",1
"583","Y5",7
"584","Y50",5
"585","Y51",3
"586","Y52",2
"587","Y53",2
"588","Y54",15
"589","Y55",7
"590","Y56",3
"591","Y57",3
"592","Y58",3
"593","Y59",1
"594","Y6",2
"595","Y60",5
"596","Y61",7
"597","Y62",6
"598","Y63",3
"599","Y64",3
"600","Y65",7
"601","Y66",7
"602","Y67",5
"603","Y68",2
"604","Y69",6
"605","Y70",2
