Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
PNNI,B61,Park,4,16.8,1,2,4,1,1,1,1,5,3
ULPU,B61,Park,1,18,2,3,4,0,1,1,0,2,2
GLTR,B62,Park,1,15,2,2,5,0,1,0,0,3,3
PNNI,B63,Park,1,16.8,1,2,4,1,1,1,1,5,3
PIGL,B64,Park,1,15,1,5,3,1,1,1,1,5,3
PNST,B64,Park,1,19.5,2,3,3,1,1,0,1,5,2
QUMA,B64,Park,1,22.5,1,3,4,0,1,1,0,1,2
TIAM,B67,Park,1,21,1,4,3,0,0,1,0,2,2
GLTR,B69,Park,2,15,2,2,5,0,1,0,0,3,3
PIAB,B69,Park,1,15,0,5,2,1,1,1,1,5,3
LADE,B7,Park,2,22,1,2,3,1,1,1,0,5,3
PNNI,B7,Park,11,16.8,1,2,4,1,1,1,1,5,3
ACSA,B70,Park,2,18,2,4,3,0,1,1,0,1,2
MABA,B70,Park,3,8.5,1,2,3,0,0,0,0,2,3
VILE,B70,Park,4,5,1,4,2,3,0,1,0,2,1
MABA,B71,Park,3,8.5,1,2,3,0,0,0,0,2,3
THOC,B71,Park,10,15,0,4,3,1,1,1,1,5,3
ACSA,B72,Park,2,18,2,4,3,0,1,1,0,1,2
PIAB,B72,Park,1,15,0,5,2,1,1,1,1,5,3
PIPU,B72,Park,4,13.5,0,3,3,1,1,1,1,5,3
ACSA,B73,Park,1,18,2,4,3,0,1,1,0,1,2
ACSC,B78,Park,1,20.5,1,5,3,0,1,1,0,1,2
PNNI,B78,Park,4,16.8,1,2,4,1,1,1,1,5,3
ACSC,B79,Park,1,20.5,1,5,3,0,1,1,0,1,2
PNNI,B79,Park,4,16.8,1,2,4,1,1,1,1,5,3
ACPL,B8,Park,1,13.5,2,3,3,0,1,1,0,1,2
PNNI,B80,Park,1,16.8,1,2,4,1,1,1,1,5,3
THOC,B80,Park,4,15,0,4,3,1,1,1,1,5,3
ROPS,B81,Park,1,12,2,1,5,0,0,1,0,3,2
PIAB,B82,Park,5,15,0,5,2,1,1,1,1,5,3
PNNI,B82,Park,2,16.8,1,2,4,1,1,1,1,5,3
THOC,B82,Park,10,15,0,4,3,1,1,1,1,5,3
ACNE,B83,Park,2,12,2,4,4,0,1,1,0,3,3
VILE,B83,Park,3,5,1,4,2,3,0,1,0,2,1
CTSP,B87,Park,1,15,2,2,5,0,0,0,0,2,3
PIAB,B87,Park,1,15,0,5,2,1,1,1,1,5,3
PIGL,B87,Park,1,15,1,5,3,1,1,1,1,5,3
PIPU,B87,Park,1,13.5,0,3,3,1,1,1,1,5,3
PNNI,B87,Park,3,16.8,1,2,4,1,1,1,1,5,3
GYDI,B90,Park,1,20.5,1,3,4,0,1,1,0,3,3
PNNI,B90,Park,1,16.8,1,2,4,1,1,1,1,5,3
PNSY,B90,Park,1,13.5,1,2,5,0,1,1,1,5,3
THOC,B90,Park,2,15,0,4,3,1,1,1,1,5,3
ACSA,B91,Park,1,18,2,4,3,0,1,1,0,1,2
CTSP,C1,Park,1,15,2,2,5,0,0,0,0,2,3
ACSA,C10,Park,1,18,2,4,3,0,1,1,0,1,2
TIAM,C10,Park,3,21,1,4,3,0,0,1,0,2,2
TICO,C10,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSA,C11,Park,1,18,2,4,3,0,1,1,0,1,2
MASY,C11,Park,3,10,2,2,3,0,0,0,0,2,3
TICO,C11,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSA,C12,Park,5,18,2,4,3,0,1,1,0,1,2
SYRE,C12,Park,3,7.5,1,2,3,0,0,1,1,2,1
SYRE,C13,Park,3,7.5,1,2,3,0,0,1,1,2,1
TICO,C13,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSA,C14,Park,5,18,2,4,3,0,1,1,0,1,2
CTSP,C15,Park,1,15,2,2,5,0,0,0,0,2,3
ACNE,C16,Park,2,12,2,4,4,0,1,1,0,3,3
ACTA,C16,Park,3,5.5,1,4,4,0,1,1,0,2,2
SYRE,C16,Park,4,7.5,1,2,3,0,0,1,1,2,1
TICO,C16,Park,2,19.5,1,5,3,1,0,1,0,2,2
ACNE,C17,Park,2,12,2,4,4,0,1,1,0,3,3
