"Var2","ACFR","ACGI","ACNE","ACPL","ACRU","ACSA","ACSC","ACTA","AEHI","AMAR","AMCA","BEAL","BENI","BEVU","CAAR","CACA","CAGL","CEJA","CEOC","CGMO","CGPU","COCO","CTSP","EUAL","FRAM","FRPE","GIBI","GLTR","GYDI","HYPA","JUCI","JUNI","LADE","LALA","LITU","LOXY","MABA","MASY","PHAM","PHPU","PIAB","PIGL","PIOM","PIPU","PIRU","PIST","PNNI","PNRE","PNSY","PODE","PRNI","PRPA","PRSE","PRVI","PRVISC","PYCA","PYCO","QUBI","QUMA","QUPA","QURU","RHCA","RHTY","ROPS","SAALTR","SOAU","SYRE","SYVU","TACA","THOC","TIAM","TICO","TIERWR","TIMOHG","TITO","ULAM","ULLA","ULMI","ULPU","ULXXFR","ULXXHO","VILE"
"P1",2,0,2,6,0,23,3,0,0,0,0,0,1,0,27,0,1,0,2,0,0,0,1,1,2,0,0,3,5,0,3,4,4,3,1,0,13,0,1,0,15,8,1,10,0,2,51,0,25,2,0,0,0,0,1,0,0,1,4,0,0,0,8,1,0,1,0,0,0,61,4,3,0,1,0,0,0,0,2,2,0,7
"P2",0,5,11,1,0,17,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,15,0,0,1,18,8,0,0,0,0,0,1,0,0,0,0
"P3",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
"P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,3,1,0,1,0,0,0,0,0,5,3,0,2,1,0,0,0,0,0,4,0,0,0
"P5",10,0,0,47,1,6,18,2,0,2,0,0,1,5,0,1,0,3,15,1,5,7,1,0,6,24,3,18,7,0,0,8,0,7,0,2,18,3,0,0,17,0,0,4,1,0,8,0,2,0,1,1,0,0,5,2,1,3,6,0,4,0,0,0,0,0,1,0,0,13,3,14,0,0,0,9,1,8,0,4,0,22
"P6",2,1,1,97,5,81,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,1,13,0,0,0,0,0,0,0,0,5,0
"P7",2,0,1,23,0,17,0,0,0,0,1,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,21,0,0,3,0,0,4,0,4,0,0
