"","Subsite.Code","Basal.Area"
"1","B10",0.0961696363636364
"2","B11",0.032636375
"3","B13",0.0019625
"4","B14",0.00567816666666667
"5","B16",0.045216
"6","B18",0.12822975
"7","B19",0.07186675
"8","B2",0.019468
"9","B20",0.15853075
"10","B21",0.0329961666666667
"11","B23",0.2561455
"12","B24",0.151092875
"13","B25",0.0855807
"14","B27",0.15857
"15","B28",0.0625383333333333
"16","B29",0.194837
"17","B3",0.031557
"18","B31",0.0624729166666667
"19","B33",0.2468825
"20","B34",0.0473355
"21","B35",0.17713525
"22","B36",0.141358875
"23","B37",0.0094985
"24","B38",0.08576125
"25","B39",0.477594
"26","B40",0.35564425
"27","B41",0.011304
"28","B42",0.10248175
"29","B43",0.101736
"30","B45",0.0200175
"31","B46",0.14228125
"32","B47",0.1734065
"33","B49",0.0132665
"34","B5",0.059601125
"35","B50",0.0038465
"36","B51",0.199291875
"37","B53",0.0274907
"38","B54",0.0208025
"39","B55",0.0178241176470588
"40","B56",0.0660185
"41","B57",0.075517
"42","B58",0.19625
"43","B60",0.0132665
"44","B61",0.102102333333333
"45","B62",0.2550465
"46","B63",0.101736
"47","B64",0.0266115
"48","B67",0.080384
"49","B69",0.2225475
"50","B7",0.092316
"51","B70",0.0263498333333333
"52","B71",0.0183569230769231
"53","B72",0.116707071428571
"54","B73",0.6217985
"55","B78",0.090589
"56","B79",0.1088481
"57","B8",0.045216
"58","B80",0.0504127
"59","B81",0.061544
"60","B82",0.0319356470588235
"61","B83",0.0507267
"62","B87",0.0693491428571429
"63","B90",0.0561432
"64","B91",0.6217985
"65","C1",0.045216
"66","C10",0.1641435
"67","C11",0.1540013
"68","C12",0.14871825
"69","C13",0.16716575
"70","C14",0.2440565
"71","C15",0.037994
"72","C16",0.122445727272727
"73","C17",0.1090836
"74","C18",0.0868079166666667
"75","C2",0.15413475
"76","C20",0.1127731
"77","C21",0.01526825
"78","C22",0.0145225
"79","C23",0.1746625
"80","C3",0.127300833333333
"81","C4",0.00785
"82","C5",0.10428725
"83","C6",0.18239475
