"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",2.92586731786521,0.827511076257172,3.5357439940247,0.000406628543204384
"2","fixed",NA,"GS.TypePark",-0.21009046539108,0.125537167866555,-1.67353198229232,0.0942226159068786
"3","fixed",NA,"GS.TypePrivate",0.805869466212426,0.220536478137883,3.6541322914778,0.000258053196873624
"4","fixed",NA,"GS.TypeRow",0.880905386590767,0.148162238117197,5.94554589472363,2.75537033295467e-09
"5","fixed",NA,"log(Area)",0.61895246060828,0.25837159465182,2.39559020194297,0.0165936307921386
"6","ran_pars","Site.Code","sd__(Intercept)",0,NA,NA,NA
