Site.Code,PIE,GS.Type
I1,0.726191,Inst
I10,0.545183,Inst
I11,0.764626,Inst
I12,0.852629,Inst
I13,1.000000,Inst
I14,0.222222,Inst
I15,0.744444,Inst
I16,0.820635,Inst
I3,0.855128,Inst
I4,0.685374,Inst
I5,0.796638,Inst
I6,0.644183,Inst
I7,1.000000,Inst
I8,0.450000,Inst
I9,0.297911,Inst
P1,0.735593,Park
P2,0.742280,Park
P3,0.671736,Park
P4,0.813719,Park
P5,0.706880,Park
P6,0.570312,Park
P7,0.669048,Park
