fid,Sample Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,layer,DBH,DBH Round,index,,
149,St. Catherine de Sienne Church,I4,SYVU,Syringa Vulgaris,45.4609234,-73.6432306,CC2,29.1,29,60,,
150,St. Catherine de Sienne Church,I4,SYVU,Syringa Vulgaris,45.460973,-73.643338,CC2,88.6,89,61,,
261,College Prep International,I7,JUVI,Juniperus Virginiana,45.4542246,-73.6422928,CP2,8.1,8,62,,
262,College Prep International,I7,TITO,Tilia Tomentosa,45.4542726,-73.642097,CP1,5.9,6,63,,
263,College Prep International,I7,ACSA,Acer Saccharinum,45.4541237,-73.6422436,CP2,48.8,49,64,,
264,College Prep International,I7,JUNI,Juglans Nigra,45.4541661,-73.6427123,CP2,16,16,65,,
504,Greaves Academy,I13,ACNE,Acer Negundo,45.4641248,-73.6233886,G5,14.5,15,66,,
505,Greaves Academy,I13,FRPE,Fraxinus Pennsylvanica,45.4641382,-73.6233048,G5,32.2,32,67,,
506,Greaves Academy,I13,TICO,Tilia Cordata,45.4640926,-73.62317,G5,66.1,66,68,,
1,St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4576223,-73.642785,IG5,67.1,67,69,,
2,St. Ignatius Church,I1,PIPU,Picea Pungens,45.4576477,-73.6426244,IG5,43.6,44,70,,
3,St. Ignatius Church,I1,PIPU,Picea Pungens,45.4576957,-73.6427264,IG5,43.5,44,71,,
4,St. Ignatius Church,I1,THOC,Thuja Occidentalis,45.4577199,-73.6425453,IG5,11.8,12,72,,
5,St. Ignatius Church,I1,AMCA,Amelanchier Canadensis,45.4577328,-73.6425671,IG5,52.1,52,73,,
6,St. Ignatius Church,I1,PIPU,Picea Pungens,45.4578354,-73.6425295,IG3,45.9,46,74,,
7,St. Ignatius Church,I1,CAAB,Caragana Arborescens 'Pendula',45.4579043,-73.6425577,IG3,19.9,20,75,,
8,St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4576592,-73.6427066,IG5,61,61,76,,
9,St. Ignatius Church,I1,ACNE,Acer Negundo,45.4581874,-73.6425567,IG1,12.1,12,77,,
10,St. Ignatius Church,I1,ACNE,Acer Negundo,45.4582091,-73.6425537,IG1,42.6,43,78,,
11,St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4582077,-73.6424866,IG1,27.4,27,79,,
12,St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4582248,-73.6424816,IG1,37.3,37,80,,
13,St. Ignatius Church,I1,ACPL,Acer Platanoides,45.458246,-73.6424726,IG1,23,23,81,,
14,St. Ignatius Church,I1,ROWO,Rosa Woodsii,45.4581284,-73.6422744,IG1,25.2,25,82,,
15,St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4581564,-73.6423029,IG1,55.3,55,83,,
16,St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4581065,-73.6422184,IG1,116.6,117,84,,
17,St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4574727,-73.642432,IG2,48.3,48,85,,
19,St. Ignatius Church,I1,TIAM,Tilia Americana,45.4575788,-73.642316,IG2,69.7,70,86,,
20,St. Ignatius Church,I1,ALGL,Alnus Glutinosa,45.4575894,-73.6422821,IG2,13.6,14,87,,
21,St. Ignatius Church,I1,ULXXFR,Ulmus 'Frontier',45.4576063,-73.6421778,IG2,52.7,53,88,,
22,St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4580579,-73.6420025,IG7,15.1,15,89,,
23,St. Ignatius Church,I1,SOAU,Sorbus Aucuparia,45.45808,-73.6420297,IG7,11.4,11,90,,
24,St. Ignatius Church,I1,ACPL,Acer Platanoides,45.458091,-73.6420461,IG7,12.1,12,91,,
25,St. Ignatius Church,I1,TIAM,Tilia Americana,45.4575612,-73.6423036,IG2,22.4,22,92,,
26,St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579132,-73.6419515,IG4,9.8,10,93,,
27,St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579231,-73.6419656,IG4,6.2,6,94,,
28,St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579262,-73.6419784,IG4,6.9,7,95,,
29,St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579643,-73.6419187,IG4,20.4,20,96,,
30,St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579478,-73.641893,IG4,5.1,5,97,,
515,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4624808,-73.6395701,J17,41.8,42,98,,
516,Judith Jasmine School,I15,ACSA,Acer Saccharinum,45.4625857,-73.6398534,J17,82.7,83,99,,
517,Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4625857,-73.6398534,J17,7.3,7,100,,
518,Judith Jasmine School,I15,PIPU,Picea Pungens,45.4628606,-73.6402249,J2,33.4,33,101,,
519,Judith Jasmine School,I15,SYVU,Syringa Vulgaris,45.4628827,-73.6402178,J2,17.4,17,102,,
520,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4629128,-73.6402872,J2,12.5,13,103,,
521,Judith Jasmine School,I15,PIPU,Picea Pungens,45.4628912,-73.6402979,J2,37.2,37,104,,
522,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4628361,-73.6405008,J1,65.5,66,105,,
523,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4629043,-73.6406607,J1,70.6,71,106,,
524,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4629824,-73.6408032,J10,84.7,85,107,,
525,Judith Jasmine School,I15,ACGI,Acer Ginnala,45.4631099,-73.6408988,J19,6.2,6,108,,
526,Judith Jasmine School,I15,GIBI,Ginkgo Biloba,45.4630925,-73.6409822,J19,5.6,6,109,,
527,Judith Jasmine School,I15,ACRU,Acer Rubrum,45.4631393,-73.6410201,J19,6.2,6,110,,
528,Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4631315,-73.6410848,J19,8.5,9,111,,
529,Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4631432,-73.639911,J14,7.5,8,112,,
530,Judith Jasmine School,I15,ULPU,Ulmus Pumila,45.4631703,-73.6398349,J20,8.3,8,113,,
531,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.4632406,-73.6398467,J20,5.5,6,114,,
532,Judith Jasmine School,I15,GLTR,Gleditsia Triacanthos,45.4632641,-73.6397508,J20,7.7,8,115,,
533,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.4636277,-73.6406332,J3,31.9,32,116,,
534,Judith Jasmine School,I15,ACGI,Acer Ginnala,45.463596,-73.640684,J3,5.8,6,117,,
535,Judith Jasmine School,I15,ACGI,Acer Ginnala,45.4635569,-73.6407087,J3,6.4,6,118,,
536,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463581,-73.640511,J3,9.5,10,119,,
537,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463531,-73.640393,J3,10.5,11,120,,
538,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463497,-73.640393,J12,23.5,24,121,,
539,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463452,-73.640168,J6,23.3,23,122,,
540,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463405,-73.640058,J6,9.3,9,123,,
541,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463304,-73.63981,J20,19,19,124,,
542,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463261,-73.639681,J20,23.6,24,125,,
543,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463225,-73.639563,J20,27.3,27,126,,
544,Judith Jasmine School,I15,CEOC,Celtis Occidentalis,45.463161,-73.639456,J11,26.6,27,127,,
545,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463139,-73.639367,J11,30.3,30,128,,
546,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.463096,-73.639238,J11,30.7,31,129,,
547,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.46303,-73.639136,J11,56.9,57,130,,
548,Judith Jasmine School,I15,ACSA,Acer Saccharinum,45.462725,-73.639323,J7,13.8,14,131,,
549,Judith Jasmine School,I15,ACNE,Acer Negundo,45.4627136,-73.6393381,J7,15.3,15,132,,
550,Judith Jasmine School,I15,ACPL,Acer Platanoides,45.4626534,-73.6393662,J7,8.6,9,133,,
551,Judith Jasmine School,I15,FRPE,Fraxinus Pennsylvanica,45.4626217,-73.6394038,J17,25.4,25,134,,
552,Judith Jasmine School,I15,ULAM,Ulmus Americana,45.4625794,-73.6394313,J17,105.6,106,135,,
274,Kells Primary Academy,I9,CEOC,Celtis Occidentalis,45.4621756,-73.6267508,KP6,18.6,19,136,,
275,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4622652,-73.626688,KP4,117,117,137,,
276,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4622833,-73.6265862,KP4,31.1,31,138,,
277,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4621777,-73.6264329,KP8,17.4,17,139,,
278,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4621747,-73.6263082,KP8,29.3,29,140,,
279,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4621979,-73.6262881,KP8,24.3,24,141,,
280,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622106,-73.626268,KP8,19.7,20,142,,
281,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622356,-73.6262449,KP8,26.1,26,143,,
282,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622381,-73.6262278,KP8,28.2,28,144,,
283,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4622492,-73.626212,KP8,31.4,31,145,,
284,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.4622156,-73.6261691,KP8,21,21,146,,
285,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.4621725,-73.6260387,KP8,20.8,21,147,,
286,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.462119,-73.626063,KP2,25.1,25,148,,
287,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.462074,-73.626146,KP2,17,17,149,,
288,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.462027,-73.626229,KP2,26,26,150,,
289,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.461984,-73.626318,KP2,25.4,25,151,,
290,Kells Primary Academy,I9,ACSA,Acer Saccharinum,45.461941,-73.626401,KP2,23.9,24,152,,
291,Kells Primary Academy,I9,GLTR,Gleditsia Triacanthos,45.46189,-73.626496,KP5,19.7,20,153,,
292,Kells Primary Academy,I9,GLTR,Gleditsia Triacanthos,45.461898,-73.626541,KP5,15.8,16,154,,
293,Kells Primary Academy,I9,GLTR,Gleditsia Triacanthos,45.461873,-73.626587,KP5,15,15,155,,
294,Kells Primary Academy,I9,GLTR,Gleditsia Triacanthos,45.461838,-73.62659,KP5,14.9,15,156,,
295,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461773,-73.626821,KP10,22.9,23,157,,
296,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461776,-73.62683,KP10,14.3,14,158,,
297,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.4617659,-73.626838,KP10,13.2,13,159,,
298,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461783,-73.626843,KP10,16.1,16,160,,
299,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461785,-73.626852,KP10,14.6,15,161,,
300,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461789,-73.626862,KP10,17.2,17,162,,
301,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461794,-73.626873,KP10,13.3,13,163,,
302,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461798,-73.62688,KP10,13.2,13,164,,
303,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461803,-73.626902,KP10,16.2,16,165,,
304,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461801,-73.626891,KP10,11.7,12,166,,
305,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461807,-73.626913,KP10,9.3,9,167,,
306,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461809,-73.62692,KP10,17.2,17,168,,
307,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461812,-73.626925,KP10,12.6,13,169,,
308,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461813,-73.626934,KP10,11.4,11,170,,
309,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461817,-73.626941,KP10,14.3,14,171,,
310,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461819,-73.626946,KP10,13.2,13,172,,
311,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461822,-73.626955,KP10,10.3,10,173,,
312,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461826,-73.626964,KP10,11.2,11,174,,
313,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461828,-73.626971,KP10,17.4,17,175,,
314,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461831,-73.626978,KP10,12.2,12,176,,
315,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461834,-73.626985,KP10,14.1,14,177,,
316,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461837,-73.626992,KP10,13.2,13,178,,
317,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.46184,-73.626999,KP10,17.1,17,179,,
318,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461844,-73.627004,KP10,16.2,16,180,,
319,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461846,-73.627011,KP10,13.5,14,181,,
320,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461845,-73.627017,KP10,17.6,18,182,,
321,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461852,-73.627028,KP10,13.4,13,183,,
322,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4619736,-73.6272728,KP9,33.3,33,184,,
323,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4619442,-73.6273563,KP9,37.7,38,185,,
324,Kells Primary Academy,I9,ACNE,Acer Negundo,45.461927,-73.627386,KP9,34.7,35,186,,
325,Kells Primary Academy,I9,ACNE,Acer Negundo,45.461905,-73.627408,KP9,45.5,46,187,,
326,Kells Primary Academy,I9,ACNE,Acer Negundo,45.461883,-73.627443,KP9,30.6,31,188,,
327,Kells Primary Academy,I9,ACNE,Acer Negundo,45.461864,-73.627385,KP1,45,45,189,,
328,Kells Primary Academy,I9,ACPL,Acer Platanoides,45.4614974,-73.6272098,KP1,52.3,52,190,,
329,Kells Primary Academy,I9,ACPL,Acer Platanoides,45.4621053,-73.6267709,KP7,22.9,23,191,,
330,Kells Primary Academy,I9,PRSE,Prunus Serotina,45.4620855,-73.6267974,KP7,10.1,10,192,,
331,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462074,-73.626849,KP7,10.2,10,193,,
332,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462086,-73.626863,KP7,16.6,17,194,,
333,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462094,-73.626873,KP7,6.8,7,195,,
334,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462096,-73.62688,KP7,6,6,196,,
335,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462096,-73.626903,KP7,5,5,197,,
336,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.46209,-73.626912,KP7,6.3,6,198,,
337,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462088,-73.626921,KP7,8.3,8,199,,
338,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462083,-73.626934,KP7,5.1,5,200,,
339,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462078,-73.62695,KP7,9,9,201,,
340,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.46207,-73.626961,KP7,6.8,7,202,,
341,Kells Primary Academy,I9,MGXXSO,Magnolia Soulangeana,45.4621074,-73.6268621,KP7,15.2,15,203,,
342,Kells Primary Academy,I9,SYVU,Syringa Vulgaris,45.4620209,-73.6269808,KP7,8.1,8,204,,
343,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462018,-73.626925,KP7,6.7,7,205,,
344,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462034,-73.626939,KP7,9.2,9,206,,
345,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462044,-73.626946,KP7,5.1,5,207,,
346,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462049,-73.626957,KP7,8.7,9,208,,
347,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462054,-73.626991,KP7,5.2,5,209,,
348,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462052,-73.627,KP7,11.1,11,210,,
349,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462044,-73.627013,KP7,7.3,7,211,,
350,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462039,-73.627026,KP7,6.1,6,212,,
351,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462032,-73.627031,KP7,6.8,7,213,,
352,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462026,-73.627037,KP7,5.4,5,214,,
353,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462017,-73.627042,KP7,6.9,7,215,,
354,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462008,-73.627047,KP7,11.7,12,216,,
355,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.462001,-73.627048,KP7,5.6,6,217,,
356,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.46199,-73.627051,KP7,7.4,7,218,,
357,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461984,-73.627048,KP7,11.3,11,219,,
358,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461976,-73.627049,KP7,6.5,7,220,,
359,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461969,-73.627052,KP7,7.9,8,221,,
360,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461962,-73.62706,KP7,9.2,9,222,,
361,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461959,-73.627055,KP7,10.4,10,223,,
362,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461953,-73.627058,KP7,5.3,5,224,,
363,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461951,-73.62706,KP7,6.7,7,225,,
364,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461948,-73.627065,KP7,8.2,8,226,,
365,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461936,-73.627069,KP7,7.5,8,227,,
366,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461927,-73.627064,KP7,9.1,9,228,,
367,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461938,-73.627022,KP7,6.7,7,229,,
368,Kells Primary Academy,I9,THOC,Thuja Occidentalis,45.461921,-73.627035,KP7,5.1,5,230,,
369,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4619628,-73.6271538,KP9,103.7,104,231,,
370,Kells Primary Academy,I9,PONI,Populus Nigra,45.461983,-73.627181,KP9,93.1,93,232,,
371,Kells Primary Academy,I9,PONI,Populus Nigra,45.461981,-73.62719,KP9,16.2,16,233,,
372,Kells Primary Academy,I9,PRVI,Prunus Virginiana,45.461986,-73.627199,KP9,7.5,8,234,,
373,Kells Primary Academy,I9,ACNE,Acer Negundo,45.461995,-73.627212,KP9,78,78,235,,
374,Kells Primary Academy,I9,ACPL,Acer Platanoides,45.462098,-73.6271193,KP9,64.7,65,236,,
375,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4621281,-73.6270395,KP6,79.8,80,237,,
376,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4621455,-73.6269845,KP6,138,138,238,,
377,Kells Primary Academy,I9,ACNE,Acer Negundo,45.4621645,-73.6269516,KP6,52.7,53,239,,
265,Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.4596347,-73.6313048,KS2,7.1,7,240,,
266,Kells Senior Academy,I8,RHTY,Rhus Typhina,45.4595677,-73.631106,KS2,6.2,6,241,,
267,Kells Senior Academy,I8,SYRE,Syringa Reticulata,45.459605,-73.6311996,KS2,33.1,33,242,,
268,Kells Senior Academy,I8,MABA,Malus Baccata,45.4595317,-73.6310799,KS2,22.9,23,243,,
269,Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.4593631,-73.6313957,KS1,8.4,8,244,,
270,Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.45938,-73.6314369,KS1,5.7,6,245,,
271,Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.4593986,-73.6314899,KS1,6.3,6,246,,
272,Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.4594171,-73.6315352,KS1,7.2,7,247,,
273,Kells Senior Academy,I8,THOC,Thuja Occidentalis,45.459484,-73.631548,KS2,6.9,7,248,,
443,Loyola High School,I11,ACSA,Acer Saccharinum,45.4570497,-73.6396049,LH12,75.4,75,249,,
444,Loyola High School,I11,QUMA,Quercus Macrocarpa,45.4564909,-73.6396626,LH8,64.9,65,250,,
445,Loyola High School,I11,JUVI,Juniperus Virginiana,45.4569859,-73.6395567,LH10,9.6,10,251,,
