Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,DBH,DBH Round,Index
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4639044,-73.6414453,73.3,73,67
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4639905,-73.6415173,13.8,14,68
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4640657,-73.6416961,54,54,69
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4641285,-73.641804,66.2,66,70
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4641664,-73.6419395,24.1,24,71
St. Thomas Church,I2,SYVU,Syringa Vulgaris,45.4640857,-73.6420126,11.4,11,72
St. Thomas Church,I2,TACA,Taxus Canadensis,45.4640613,-73.6420682,12.2,12,73
St. Thomas Church,I2,TACA,Taxus Canadensis,45.4640498,-73.6420799,17.4,17,74
St. Thomas Church,I2,PRPE,Prunus Persica,45.4640187,-73.6420873,18.3,18,75
St. Thomas Church,I2,PIPU,Picea Pungens,45.4639301,-73.642144,6.5,7,76
St. Thomas Church,I2,ROPS,Robinia Pseudoacacia,45.4639341,-73.6421497,5.8,6,77
St. Thomas Church,I2,PNST,Pinus Strobus,45.4638623,-73.6420675,6.2,6,78
St. Thomas Church,I2,TACA,Taxus Canadensis,45.4639,-73.642205,7.7,8,79
St. Monica Church,I3,ACNE,Acer Negundo,45.468112,-73.6341916,60.8,61,80
St. Monica Church,I3,ACNE,Acer Negundo,45.4681395,-73.6342392,55.9,56,81
St. Monica Church,I3,ACPL,Acer Platanoides,45.4681518,-73.6342616,15.2,15,82
St. Monica Church,I3,MABA,Malus Baccata,45.4681308,-73.6343398,27.6,28,83
St. Monica Church,I3,MABA,Malus Baccata,45.4681623,-73.6344417,26.6,27,84
St. Monica Church,I3,EUEU,Euonymus Europaeus,45.4684353,-73.6345788,4.7,5,85
St. Monica Church,I3,ACPL,Acer Platanoides,45.4684471,-73.6346355,9.4,9,86
St. Monica Church,I3,ACPL,Acer Platanoides,45.4684647,-73.6346951,5.4,5,87
St. Monica Church,I3,ULPU,Ulmus Pumila,45.4684767,-73.634724,5,5,88
St. Monica Church,I3,ACNE,Acer Negundo,45.4683737,-73.6348511,51.6,52,89
St. Monica Church,I3,ACNE,Acer Negundo,45.4683065,-73.6349127,39.2,39,90
St. Monica Church,I3,ACNE,Acer Negundo,45.4682865,-73.6349362,49.1,49,91
St. Monica Church,I3,ULAM,Ulmus Americana,45.4682917,-73.6349322,34.4,34,92
St. Monica Church,I3,ACPL,Acer Platanoides,45.4685113,-73.6351193,32.4,32,93
St. Monica Church,I3,FRPE,Fraxinus Pennsylvanica,45.4684852,-73.6352279,6.4,6,94
St. Monica Church,I3,ACPL,Acer Platanoides,45.4682656,-73.6352299,31.5,32,95
St. Monica Church,I3,ACPL,Acer Platanoides,45.4682216,-73.6351525,18.3,18,96
St. Monica Church,I3,ACPL,Acer Platanoides,45.4681807,-73.6351112,21.4,21,97
St. Monica Church,I3,ACPL,Acer Platanoides,45.4681712,-73.6350971,12.7,13,98
St. Monica Church,I3,ULAM,Ulmus Americana,45.4682122,-73.6349738,113.7,114,99
St. Monica Church,I3,ACNE,Acer Negundo,45.4682268,-73.6349741,35.1,35,100
St. Monica Church,I3,PIPU,Picea Pungens,45.4680789,-73.6348256,18,18,101
St. Monica Church,I3,MABA,Malus Baccata,45.4679778,-73.6345869,49.7,50,102
St. Monica Church,I3,MABA,Malus Baccata,45.467946,-73.634502,40.9,41,103
St. Monica Church,I3,THOC,Thuja Occidentalis,45.4679528,-73.6344652,13.6,14,104
St. Monica Church,I3,PIPU,Picea Pungens,45.4677838,-73.6343622,35,35,105
St. Monica Church,I3,ACPL,Acer Platanoides,45.4676679,-73.6345325,10,10,106
St. Monica Church,I3,PIPU,Picea Pungens,45.4677255,-73.634665,22.4,22,107
