fid,Sample Site,Site Code,Species Code,Species Latin,Species Common,DBH (2020):,DBH Round,Latitude,Longitude,layer,INDEX
232,LOYOLA,P5,QUMA,Quercus Macrocarpa,Bur Oak,52.9,53,45.461959,-73.646946,LO59,797
296,LOYOLA,P5,CGPU,Crataegus Punctata,Dotted Hawthorn,53.1,53,45.462876,-73.64643,LO80,798
254,LOYOLA,P5,TICO,Tilia Cordata,Littleleaf European Linden,53.2,53,45.460722,-73.646329,LO65,799
81,LOYOLA,P5,ACSC,Acer Saccharum,Sugar Maple,53.4,53,45.460626,-73.645799,LO132,800
255,LOYOLA,P5,ULAM,Ulmus Americana,White Elm,53.8,54,45.460582,-73.646069,LO65,801
34,LOYOLA,P5,ACSC,Acer Saccharum,Sugar Maple,56.3,56,45.460543,-73.64578,LO108,802
130,LOYOLA,P5,ACPL,Acer Platanoides,Norway Maple,57.6,58,45.461793,-73.645342,LO158,803
314,LOYOLA,P5,TICO,Tilia Cordata,Littleleaf European Linden,57.9,58,45.460482,-73.646156,LO89,804
331,LOYOLA,P5,ACPL,Acer Platanoides,Norway Maple,58.1,58,45.461783,-73.645197,LO92,805
128,LOYOLA,P5,ULAM,Ulmus Americana,White Elm,58.7,59,45.460471,-73.646349,LO156,806
28,LOYOLA,P5,CEJA,Cercidiphyllum Japonicum,Katsura Tree,58.8,59,45.46083,-73.6465069,LO102,807
118,LOYOLA,P5,TIAM,Tilia Americana,American Basswood,59.7,60,45.462086,-73.646487,LO155,808
10,LOYOLA,P5,ACSC,Acer Saccharum,Sugar Maple,60.5,61,45.462183,-73.645268,LO100,809
112,LOYOLA,P5,TICO,Tilia Cordata,Littleleaf European Linden,61.1,61,45.460558,-73.646624,LO153,810
45,LOYOLA,P5,GLTR,Gleditsia Triacanthos,Thornless Honey-Locust,62.8,63,45.462315,-73.64696,LO112,811
64,LOYOLA,P5,ACSA,Acer Saccharinum,Silver Maple,63.2,63,45.46078,-73.647149,LO123,812
224,LOYOLA,P5,CEOC,Celtis Occidentalis,Common Hackberry,63.2,63,45.461046,-73.644553,LO54,813
275,LOYOLA,P5,ACSC,Acer Saccharum,Sugar Maple,64.1,64,45.460842,-73.64627,LO68,814
148,LOYOLA,P5,FRPE,Fraxinus Pennsylvanica,Red Ash,65.2,65,45.462384,-73.645506,LO18,815
332,LOYOLA,P5,ULAM,Ulmus Americana,White Elm,67.7,68,45.46187,-73.645305,LO92,816
119,LOYOLA,P5,FRAM,Fraxinus Americana,White Ash,71,71,45.462172,-73.646572,LO155,817
217,LOYOLA,P5,ACPL,Acer Platanoides,Norway Maple,71.4,71,45.462639,-73.646646,LO49,818
174,LOYOLA,P5,CEOC,Celtis Occidentalis,Common Hackberry,72.5,73,45.461413,-73.644266,LO29,819
240,LOYOLA,P5,CGPU,Crataegus Punctata,Dotted Hawthorn,73.4,73,45.46161,-73.647383,LO63,820
77,LOYOLA,P5,FRPE,Fraxinus Pennsylvanica,Red Ash,76,76,45.462617,-73.646142,LO131,821
182,LOYOLA,P5,ULAM,Ulmus Americana,White Elm,77.3,77,45.460081,-73.645296,LO30,822
256,LOYOLA,P5,FRPE,Fraxinus Pennsylvanica,Red Ash,78.4,78,45.461947,-73.646795,LO66,823
203,LOYOLA,P5,ACSA,Acer Saccharinum,Silver Maple,80.6,81,45.461738,-73.647122,LO4,824
218,LOYOLA,P5,ACSA,Acer Saccharinum,Silver Maple,86.2,86,45.461044,-73.647146,LO5,825
297,LOYOLA,P5,MABA,Malus Baccata,Crab Apple,92.3,92,45.462885,-73.646513,LO80,826
430,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.2,5,45.4567056,-73.648988,CO1,827
431,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.2,5,45.4568288,-73.648886,CO1,828
432,CONNAUGHT-TOWNSEND,P3,MABA,Malus Baccata 'Jefspire',Purple Spire Crabapple,5.4,5,45.456609,-73.648745,CO2,829
433,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.5,6,45.4568037,-73.6488944,CO1,830
434,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.5,6,45.4568408,-73.6488673,CO1,831
435,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,5.5,6,45.4568502,-73.6488646,CO1,832
436,CONNAUGHT-TOWNSEND,P3,ACNE,Acer Negundo,Manitoba Maple,5.6,6,45.4567992,-73.6486356,CO1,833
437,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6,6,45.4566169,-73.6490446,CO2,834
438,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6,6,45.4567202,-73.6489642,CO1,835
439,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6,6,45.4568378,-73.6488817,CO1,836
440,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.2,6,45.4566903,-73.6490037,CO2,837
441,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.2,6,45.456819,-73.6488881,CO1,838
442,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.3,6,45.456778,-73.6489145,CO1,839
443,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.3,6,45.4568246,-73.648886,CO1,840
444,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.4,6,45.4567865,-73.6489088,CO1,841
445,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.8,7,45.4567566,-73.6489196,CO1,842
446,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,6.9,7,45.4568319,-73.6488797,CO1,843
447,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7,7,45.4566522,-73.6490064,CO2,844
448,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7,7,45.4566891,-73.6490004,CO2,845
449,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.3,7,45.4567602,-73.6489202,CO1,846
450,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.3,7,45.4568679,-73.6488522,CO1,847
451,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.4,7,45.4567209,-73.6489397,CO1,848
452,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.4,7,45.4567258,-73.6489303,CO1,849
453,CONNAUGHT-TOWNSEND,P3,SAALTR,Salix Alba 'Tristis',Golden Weeping Willow,7.5,8,45.456806,-73.6488,CO1,850
454,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.5,8,45.4568439,-73.6488703,CO1,851
455,CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,7.6,8,45.4568359,-73.6487124,CO1,852
456,CONNAUGHT-TOWNSEND,P3,ACNE,Acer Negundo,Manitoba Maple,7.7,8,45.4568669,-73.6487895,CO1,853
457,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,7.8,8,45.4567733,-73.6489145,CO1,854
458,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8,8,45.4567362,-73.6489256,CO1,855
459,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.2,8,45.4567926,-73.6489115,CO1,856
460,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.6,9,45.4568124,-73.6488887,CO1,857
461,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.6,9,45.4568726,-73.6488478,CO1,858
462,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,8.7,9,45.4567968,-73.6489068,CO1,859
463,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9,9,45.4567905,-73.6489085,CO1,860
464,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.1,9,45.4568629,-73.6488575,CO1,861
465,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.2,9,45.4567112,-73.6489347,CO1,862
466,CONNAUGHT-TOWNSEND,P3,PIAB,Picea Abies,Norway Spruce,9.4,9,45.456639,-73.648943,CO2,863
467,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.5,10,45.4566941,-73.6489833,CO2,864
468,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,9.8,10,45.4568827,-73.6488441,CO1,865
469,CONNAUGHT-TOWNSEND,P3,PIAB,Picea Abies,Norway Spruce,10.9,11,45.456694,-73.648906,CO2,866
470,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,11.6,12,45.4568281,-73.6488787,CO1,867
471,CONNAUGHT-TOWNSEND,P3,MABA,Malus Baccata,Common Crabapple,15.3,15,45.456651,-73.648862,CO2,868
472,CONNAUGHT-TOWNSEND,P3,MASY,Malus Sylvestris,European Crabapple,16.1,16,45.45672,-73.648696,CO1,869
473,CONNAUGHT-TOWNSEND,P3,JUCI,Juglans Cinerea,Butternut,16.9,17,45.456708,-73.648777,CO1,870
474,CONNAUGHT-TOWNSEND,P3,THOC,Thuja Occidentalis,Eastern White Cedar,17.2,17,45.4567112,-73.6489692,CO1,871
475,CONNAUGHT-TOWNSEND,P3,GLTR,Gleditsia Triacanthos 'Skyline',Skyline Honey-Locust,24,24,45.456816,-73.648878,CO1,872
476,CONNAUGHT-TOWNSEND,P3,GLTR,Gleditsia Triacanthos 'Skyline',Skyline Honey-Locust,32.3,32,45.456775,-73.648909,CO1,873
477,CONNAUGHT-TOWNSEND,P3,GLTR,Gleditsia Triacanthos 'Skyline',Skyline Honey-Locust,32.8,33,45.456863,-73.648842,CO1,874
478,CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,36.4,36,45.456628,-73.648667,CO2,875
479,CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,37.1,37,45.456564,-73.648718,CO2,876
480,CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,42.5,43,45.456778,-73.648562,CO1,877
481,CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,44.2,44,45.456697,-73.648621,CO2,878
482,CONNAUGHT-TOWNSEND,P3,CEOC,Celtis Occidentalis,Common Hackberry,45.9,46,45.456816,-73.648656,CO1,879
483,CONNAUGHT-TOWNSEND,P3,ACNE,Acer Negundo,Manitoba Maple,48,48,45.4567919,-73.6486738,CO1,880
484,CONNAUGHT-TOWNSEND,P3,FRPE,Fraxinus Pennsylvanica,Red Ash,58.4,58,45.456547,-73.648845,CO2,881
485,CONNAUGHT-TOWNSEND,P3,ACPL,Acer Platanoides,Norway Maple,61,61,45.456603,-73.649002,CO2,882
486,CONNAUGHT-TOWNSEND,P3,ACPL,Acer Platanoides,Norway Maple,67.3,67,45.4568441,-73.6487318,CO1,883
1043,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,62.4,62,45.460612,-73.632677,T1,884
1074,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,69.6,70,45.46072,-73.632623,T1,885
1082,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,71.5,72,45.460711,-73.632746,T1,886
928,TRENHOLME,P6,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,20,20,45.460522,-73.632389,T3,887
969,TRENHOLME,P6,GLTR,Gleditsia Triacanthos,Common Honeylocust,30.3,30,45.460441,-73.63233,T3,888
1011,TRENHOLME,P6,GLTR,Gleditsia Triacanthos,Common Honeylocust,54.1,54,45.460572,-73.632345,T3,889
1018,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,57.9,58,45.461208,-73.630888,T4,890
1036,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,61.8,62,45.461132,-73.630689,T4,891
1045,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,62.5,63,45.461167,-73.63079,T4,892
1090,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,73.9,74,45.461096,-73.630601,T4,893
952,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,27.9,28,45.460912,-73.6337,T5,894
962,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,29.4,29,45.460998,-73.633524,T5,895
1030,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,60.7,61,45.461061,-73.633587,T5,896
1076,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,70.5,71,45.46102,-73.633653,T5,897
931,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,20.9,21,45.460732,-73.633628,T7,898
941,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,24,24,45.460781,-73.633742,T7,899
984,TRENHOLME,P6,TICO,Tilia Cordata,Littleleaf European Linden,35.5,36,45.460845,-73.633563,T7,900
1079,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,71.2,71,45.460798,-73.63354,T7,901
1119,TRENHOLME,P6,TICO,Tilia Cordata,Littleleaf European Linden,120.4,120,45.460809,-73.632946,T10,902
982,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,33.9,34,45.46074,-73.6309,T14,903
893,TRENHOLME,P6,MABA,Malus 'Rosseau',Rosseau Crab Apple,6.5,7,45.460253,-73.631927,T16,904
925,TRENHOLME,P6,ACPL,Acer Platanoides 'Deborah',Deborah Norway Maple,19.1,19,45.460194,-73.632008,T16,905
946,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,26.3,26,45.46014,-73.631941,T16,906
958,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,28.8,29,45.461065,-73.633417,T18,907
980,TRENHOLME,P6,TICO,Tilia Cordata,Littleleaf European Linden,32.8,33,45.460777,-73.633428,T21,908
1075,TRENHOLME,P6,TICO,Tilia Cordata,Littleleaf European Linden,70.5,71,45.460908,-73.633354,T21,909
1042,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,62.4,62,45.460341,-73.629461,T22,910
1051,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,64.6,65,45.460377,-73.629755,T22,911
1084,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,72.1,72,45.460381,-73.629616,T22,912
1086,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,72.8,73,45.460269,-73.629708,T22,913
997,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,45,45,45.460585,-73.632773,T23,914
1110,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,85.7,86,45.460485,-73.632949,T23,915
900,TRENHOLME,P6,JUNI,Juglans Nigra,Black Walnut,8.1,8,45.460246,-73.629985,T24,916
901,TRENHOLME,P6,QUMA,Quercus Macrocarpa,Bur Oak,8.3,8,45.460314,-73.629814,T24,917
906,TRENHOLME,P6,TIAM,Tilia Americana 'Redmond',Redmond American Linden,11.6,12,45.460249,-73.62993,T24,918
1108,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,83.6,84,45.460228,-73.629829,T24,919
915,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,16.4,16,45.460988,-73.630342,T26,920
948,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,27,27,45.461024,-73.630418,T26,921
1120,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,129.7,130,45.460948,-73.630199,T26,922
929,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,20.1,20,45.459759,-73.630807,T28,923
963,TRENHOLME,P6,ACRU,Acer Rubrum,Red Maple,29.7,30,45.459696,-73.63076,T28,924
983,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,34.5,35,45.4598,-73.630663,T28,925
1093,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,75.2,75,45.459638,-73.630824,T28,926
989,TRENHOLME,P6,TICO,Tilia Cordata,Littleleaf European Linden,37.5,38,45.460827,-73.633111,T30,927
993,TRENHOLME,P6,TICO,Tilia Cordata,Littleleaf European Linden,39.1,39,45.460859,-73.633213,T30,928
896,TRENHOLME,P6,ACSA,Acer Saccharinum 'Pyramidalis',Pyramidal Silver Maple,7.4,7,45.460438,-73.629523,T31,929
959,TRENHOLME,P6,ACRU,Acer Rubrum,Red Maple,29,29,45.460476,-73.629449,T31,930
1092,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,74.9,75,45.460512,-73.629561,T31,931
938,TRENHOLME,P6,QUMA,Quercus Macrocarpa,Bur Oak,22.8,23,45.460078,-73.631308,T32,932
1007,TRENHOLME,P6,ACNE,Acer Negundo,Manitoba Maple,53,53,45.46001,-73.631448,T32,933
942,TRENHOLME,P6,ACPL,Acer Platanoides 'Deborah',Deborah Norway Maple,24.3,24,45.460284,-73.632023,T33,934
944,TRENHOLME,P6,ULXXHO,Ulmus 'Homestead',Homestead Elm,24.5,25,45.460261,-73.632184,T33,935
954,TRENHOLME,P6,ULXXHO,Ulmus 'Homestead',Homestead Elm,28.3,28,45.460275,-73.632123,T33,936
1034,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,61.6,62,45.460472,-73.629236,T34,937
1035,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,61.6,62,45.460552,-73.629418,T34,938
1068,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,68.8,69,45.460422,-73.629319,T34,939
904,TRENHOLME,P6,GYDI,Gymnocladus Dioicus,Kentucky Coffee Tree,9.4,9,45.46126,-73.631226,T35,940
1023,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,60,60,45.461286,-73.631098,T35,941
1055,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,65.9,66,45.461329,-73.631206,T35,942
1066,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,68.3,68,45.461247,-73.630995,T35,943
972,TRENHOLME,P6,ACRU,Acer Rubrum,Red Maple,30.7,31,45.460003,-73.630119,T36,944
890,TRENHOLME,P6,BENI,Betula Nigra,Heritage River Birch,4.5,5,45.461315,-73.632418,T38,945
936,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,22.4,22,45.461237,-73.632481,T38,946
1000,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,46.6,47,45.461174,-73.6324,T38,947
1097,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,78.5,79,45.461314,-73.632568,T38,948
1005,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,51.1,51,45.460656,-73.633622,T39,949
1109,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,83.6,84,45.460692,-73.633533,T39,950
1010,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,53.1,53,45.461522,-73.631856,T40,951
1021,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,58.8,59,45.461526,-73.631937,T40,952
1025,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,60.2,60,45.4614,-73.631802,T40,953
1099,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,78.8,79,45.461377,-73.631937,T40,954
966,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,29.8,30,45.460515,-73.631067,T41,955
975,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,31.4,31,45.46056,-73.631016,T41,956
1059,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,66.5,67,45.460812,-73.630789,T42,957
1061,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,67.2,67,45.460429,-73.631288,T43,958
1072,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,69.1,69,45.460303,-73.631322,T43,959
1083,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,71.6,72,45.460424,-73.631409,T43,960
903,TRENHOLME,P6,PNRE,Pinus Resinosa,Red Pine,9.3,9,45.460046,-73.63016,T44,961
907,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,12.3,12,45.461481,-73.631569,T45,962
995,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,41.7,42,45.461405,-73.631407,T45,963
1015,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,56.8,57,45.461495,-73.631755,T45,964
1037,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,61.9,62,45.461387,-73.631727,T45,965
1057,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,66,66,45.461499,-73.631632,T45,966
950,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,27.4,27,45.460055,-73.631727,T46,967
956,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,28.8,29,45.460015,-73.631602,T46,968
1096,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,77.9,78,45.461332,-73.632038,T47,969
961,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,29.3,29,45.459997,-73.631083,T48,970
964,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,29.7,30,45.460033,-73.631018,T48,971
978,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,32,32,45.45997,-73.631014,T48,972
985,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,36.1,36,45.460078,-73.631103,T48,973
992,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,38.5,39,45.46011,-73.631182,T48,974
919,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,17.3,17,45.461368,-73.63264,T49,975
921,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,18.2,18,45.461354,-73.632481,T49,976
1101,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,79.7,80,45.461404,-73.632583,T49,977
1014,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,56.5,57,45.459696,-73.63103,T50,978
1022,TRENHOLME,P6,ACFR,Acer Freemannii,Freeman Maple,59.7,60,45.459705,-73.6309,T50,979
1040,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,62.2,62,45.459783,-73.631128,T50,980
1071,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,69.1,69,45.459705,-73.63111,T50,981
986,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,36.5,37,45.460302,-73.632318,T51,982
1019,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,58.3,58,45.460243,-73.632473,T51,983
1060,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,66.7,67,45.460329,-73.632417,T51,984
967,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,29.9,30,45.460913,-73.632654,T53,985
939,TRENHOLME,P6,QUMA,Quercus Macrocarpa,Bur Oak,22.9,23,45.460136,-73.631276,T54,986
968,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,30.1,30,45.460055,-73.632024,T56,987
1064,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,68.2,68,45.460005,-73.63185,T56,988
908,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,12.5,13,45.461588,-73.632567,T57,989
918,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,17.2,17,45.461511,-73.632822,T57,990
1013,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,55.6,56,45.461656,-73.632599,T57,991
1085,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,72.2,72,45.461548,-73.632673,T57,992
891,TRENHOLME,P6,ACSC,Acer Saccharum,Sugar Maple,4.9,5,45.461153,-73.631073,T59,993
1102,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,79.8,80,45.461064,-73.630969,T59,994
905,TRENHOLME,P6,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,9.6,10,45.460644,-73.632312,T60,995
1002,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,46.9,47,45.460707,-73.63233,T60,996
922,TRENHOLME,P6,SYRE,Syringa Reticulata,Ivory Silk Japanese Tree Lilac,18.3,18,45.460378,-73.632548,T63,997
933,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,21.2,21,45.46027,-73.63258,T63,998
1105,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,81.3,81,45.460396,-73.632739,T63,999
1033,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,61.4,61,45.460683,-73.62953,T64,1000
1038,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,62,62,45.460732,-73.629634,T64,1001
1077,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,71,71,45.460629,-73.629377,T64,1002
1113,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,88.9,89,45.460588,-73.629601,T64,1003
1073,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,69.2,69,45.461494,-73.632272,T65,1004
1031,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,61.1,61,45.461373,-73.631535,T66,1005
1053,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,65.7,66,45.461297,-73.631371,T66,1006
943,TRENHOLME,P6,GYDI,Gymnocladus Dioicus,Kentucky Coffee Tree,24.3,24,45.461107,-73.632068,T67,1007
1006,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,52.8,53,45.461053,-73.632145,T67,1008
1080,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,71.3,71,45.460889,-73.630085,T68,1009
1054,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,65.8,66,45.46066,-73.629728,T69,1010
892,TRENHOLME,P6,PNRE,Pinus Resinosa,Red Pine,6.1,6,45.460111,-73.630095,T70,1011
895,TRENHOLME,P6,BEAL,Betula Alleghaniensis,Yellow Birch,7.1,7,45.460178,-73.630026,T70,1012
923,TRENHOLME,P6,ACRU,Acer Rubrum,Red Maple,18.8,19,45.460093,-73.629937,T70,1013
973,TRENHOLME,P6,ACRU,Acer Rubrum,Red Maple,30.8,31,45.460124,-73.630039,T70,1014
1003,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,48.8,49,45.460152,-73.629841,T70,1015
1050,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,63.8,64,45.460184,-73.629916,T70,1016
1112,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,88.2,88,45.460057,-73.630045,T70,1017
934,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,21.7,22,45.460203,-73.631796,T72,1018
1115,TRENHOLME,P6,ACSA,Acer Saccharinum,Silver Maple,95.5,96,45.4601,-73.631841,T72,1019
955,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,28.5,29,45.459898,-73.630999,T73,1020
960,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,29.1,29,45.459813,-73.630886,T73,1021
965,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,29.8,30,45.459885,-73.630835,T73,1022
974,TRENHOLME,P6,ACPL,Acer Platanoides,Norway Maple,31,31,45.459921,-73.63092,T73,1023
