"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",3.94607636483494,0.523925987336,7.53174391081363,513.962385953965,2.26818132452996e-13
"2","fixed",NA,"GS.TypePark",-0.078311006204596,0.118286026531118,-0.662047821717928,16.3568824649353,0.5171602708307
"3","fixed",NA,"GS.TypePrivate",0.980589214261104,0.148301844592335,6.61211744841499,203.378098259674,3.27066119453355e-10
"4","fixed",NA,"GS.TypeRow",1.41369853191017,0.104869060000907,13.4806065001245,90.7333913380182,2.2042996743421e-23
"5","fixed",NA,"log(Area)",0.834694894234073,0.163092117585569,5.11793522943336,541.233260526519,4.29805395503159e-07
"6","ran_pars","Site.Code","sd__(Intercept)",0.181552136904287,NA,NA,NA,NA
"7","ran_pars","Residual","sd__Observation",0.68751963416652,NA,NA,NA,NA
