"Var1","Var2","Freq"
"PNNI","P4",1
"PNRE","P4",0
"PNSY","P4",0
"PODE","P4",0
"PRNI","P4",0
"PRPA","P4",0
"PRSE","P4",0
"PRVI","P4",1
"PRVISC","P4",0
"PYCA","P4",0
"PYCO","P4",2
"QUBI","P4",0
"QUMA","P4",1
"QUPA","P4",3
"QURU","P4",1
"RHCA","P4",0
"RHTY","P4",1
"ROPS","P4",0
"SAALTR","P4",0
"SOAU","P4",0
"SYRE","P4",0
"SYVU","P4",0
"TACA","P4",5
"THOC","P4",3
"TIAM","P4",0
"TICO","P4",2
"TIERWR","P4",1
"TIMOHG","P4",0
"TITO","P4",0
"ULAM","P4",0
"ULLA","P4",0
"ULMI","P4",0
"ULPU","P4",4
"ULXXFR","P4",0
"ULXXHO","P4",0
"VILE","P4",0
"ACFR","P5",10
"ACGI","P5",0
"ACNE","P5",0
"ACPL","P5",47
"ACRU","P5",1
"ACSA","P5",6
"ACSC","P5",18
"ACTA","P5",2
"AEHI","P5",0
"AMAR","P5",2
"AMCA","P5",0
"BEAL","P5",0
"BENI","P5",1
"BEVU","P5",5
"CAAR","P5",0
"CACA","P5",1
"CAGL","P5",0
"CEJA","P5",3
"CEOC","P5",15
"CGMO","P5",1
"CGPU","P5",5
"COCO","P5",7
"CTSP","P5",1
"EUAL","P5",0
"FRAM","P5",6
"FRPE","P5",24
"GIBI","P5",3
"GLTR","P5",18
"GYDI","P5",7
"HYPA","P5",0
"JUCI","P5",0
"JUNI","P5",8
"LADE","P5",0
"LALA","P5",7
"LITU","P5",0
"LOXY","P5",2
"MABA","P5",18
"MASY","P5",3
"PHAM","P5",0
"PHPU","P5",0
"PIAB","P5",17
"PIGL","P5",0
"PIOM","P5",0
"PIPU","P5",4
"PIRU","P5",1
"PIST","P5",0
"PNNI","P5",8
"PNRE","P5",0
"PNSY","P5",2
"PODE","P5",0
"PRNI","P5",1
"PRPA","P5",1
"PRSE","P5",0
"PRVI","P5",0
"PRVISC","P5",5
"PYCA","P5",2
"PYCO","P5",1
"QUBI","P5",3
"QUMA","P5",6
"QUPA","P5",0
"QURU","P5",4
"RHCA","P5",0
"RHTY","P5",0
"ROPS","P5",0
"SAALTR","P5",0
"SOAU","P5",0
"SYRE","P5",1
"SYVU","P5",0
"TACA","P5",0
"THOC","P5",13
"TIAM","P5",3
"TICO","P5",14
"TIERWR","P5",0
"TIMOHG","P5",0
"TITO","P5",0
"ULAM","P5",9
"ULLA","P5",1
"ULMI","P5",8
"ULPU","P5",0
"ULXXFR","P5",4
"ULXXHO","P5",0
"VILE","P5",22
"ACFR","P6",2
"ACGI","P6",1
"ACNE","P6",1
"ACPL","P6",97
"ACRU","P6",5
"ACSA","P6",81
"ACSC","P6",2
"ACTA","P6",0
"AEHI","P6",1
"AMAR","P6",0
"AMCA","P6",0
"BEAL","P6",1
"BENI","P6",1
"BEVU","P6",0
"CAAR","P6",0
"CACA","P6",0
"CAGL","P6",0
"CEJA","P6",0
"CEOC","P6",0
"CGMO","P6",0
"CGPU","P6",0
"COCO","P6",0
"CTSP","P6",0
"EUAL","P6",0
"FRAM","P6",0
"FRPE","P6",0
"GIBI","P6",0
"GLTR","P6",2
"GYDI","P6",2
"HYPA","P6",0
"JUCI","P6",0
"JUNI","P6",1
"LADE","P6",0
"LALA","P6",0
"LITU","P6",0
"LOXY","P6",0
"MABA","P6",2
"MASY","P6",0
"PHAM","P6",0
"PHPU","P6",0
"PIAB","P6",1
"PIGL","P6",0
"PIOM","P6",0
"PIPU","P6",0
"PIRU","P6",0
"PIST","P6",0
"PNNI","P6",0
"PNRE","P6",2
"PNSY","P6",0
"PODE","P6",0
"PRNI","P6",0
"PRPA","P6",0
"PRSE","P6",0
"PRVI","P6",0
"PRVISC","P6",0
"PYCA","P6",0
"PYCO","P6",0
"QUBI","P6",0
"QUMA","P6",3
"QUPA","P6",0
"QURU","P6",0
"RHCA","P6",0
"RHTY","P6",0
"ROPS","P6",0
"SAALTR","P6",0
"SOAU","P6",0
"SYRE","P6",7
"SYVU","P6",0
"TACA","P6",0
"THOC","P6",0
"TIAM","P6",1
"TICO","P6",13
"TIERWR","P6",0
"TIMOHG","P6",0
"TITO","P6",0
"ULAM","P6",0
"ULLA","P6",0
"ULMI","P6",0
"ULPU","P6",0
"ULXXFR","P6",0
"ULXXHO","P6",5
"VILE","P6",0
"ACFR","P7",2
"ACGI","P7",0
"ACNE","P7",1
"ACPL","P7",23
"ACRU","P7",0
"ACSA","P7",17
"ACSC","P7",0
"ACTA","P7",0
"AEHI","P7",0
"AMAR","P7",0
"AMCA","P7",1
"BEAL","P7",0
"BENI","P7",4
"BEVU","P7",0
"CAAR","P7",0
"CACA","P7",0
"CAGL","P7",0
"CEJA","P7",0
"CEOC","P7",8
"CGMO","P7",0
"CGPU","P7",0
"COCO","P7",0
"CTSP","P7",0
"EUAL","P7",0
"FRAM","P7",0
"FRPE","P7",0
"GIBI","P7",0
"GLTR","P7",5
"GYDI","P7",0
"HYPA","P7",2
"JUCI","P7",0
"JUNI","P7",0
"LADE","P7",0
"LALA","P7",0
"LITU","P7",0
"LOXY","P7",0
"MABA","P7",4
"MASY","P7",0
"PHAM","P7",0
"PHPU","P7",0
"PIAB","P7",0
"PIGL","P7",2
"PIOM","P7",0
"PIPU","P7",0
"PIRU","P7",3
"PIST","P7",0
"PNNI","P7",0
"PNRE","P7",0
"PNSY","P7",0
"PODE","P7",0
"PRNI","P7",0
"PRPA","P7",0
"PRSE","P7",0
"PRVI","P7",0
"PRVISC","P7",0
"PYCA","P7",1
"PYCO","P7",0
"QUBI","P7",0
"QUMA","P7",0
"QUPA","P7",0
"QURU","P7",0
"RHCA","P7",0
"RHTY","P7",0
"ROPS","P7",0
"SAALTR","P7",0
"SOAU","P7",0
"SYRE","P7",2
"SYVU","P7",1
"TACA","P7",0
"THOC","P7",0
"TIAM","P7",0
"TICO","P7",21
"TIERWR","P7",0
"TIMOHG","P7",0
"TITO","P7",3
"ULAM","P7",0
"ULLA","P7",0
"ULMI","P7",4
"ULPU","P7",0
"ULXXFR","P7",4
"ULXXHO","P7",0
"VILE","P7",0
